id;context;question;answer
1;Sin duda es importante afrontar los desafíos que se nos presentan como consecuencia de la velocidad que ha adquirido el desarrollo y disponibilidad de nuevas capacidades tecnológicas.;¿Cuál es la causa de los desafíos que se les presentan?;la velocidad que ha adquirido el desarrollo y disponibilidad de nuevas capacidades tecnológicas
2;Por Áreas, la División de Televisión ha vuelto a demostrar su solidez gracias a un modelo reconocible por sus Informativos, su Entretenimiento y su Ficción, avalado por la audiencia y el mejor capacitado para resistir en un escenario de fragmentación creciente.;¿Gracias a qué medida la División de Televisión, por Áreas, ha vuelto a demostrar su solidez?;a un modelo reconocible por sus Informativos, su Entretenimiento y su Ficción, avalado por la audiencia y el mejor capacitado para resistir en un escenario de fragmentación creciente
3;Además, después de haber crecido significativamente en los seis primeros meses del año, el número de visitantes estadounidenses se redujo durante el segundo semestre como consecuencia del empeoramiento de las relaciones y aumento de las tensiones entre los gobiernos estadounidense y cubano.;¿En qué ha derivado el empeoramiento de las relaciones y aumento de las tensiones entre los gobiernos estadounidense y cubano?;después de haber crecido significativamente en los seis primeros meses del año, el número de visitantes estadounidenses se redujo durante el segundo semestre
4;La rentabilidad ha mejorado gracias a un entorno más favorable, pero sigue siendo un desafío clave para el sector bancario de la UE.;¿Gracias a qué ha mejorado la rentabilidad?;a un entorno más favorable
5;Es un crecimiento de calidad, ya que está basado en aumentos en los ingresos más comerciales (margen de intereses y comisiones), y donde los resultados por operaciones financieras han pasado a representar sólo el 5% de los ingresos del Grupo (7% en 2014).;¿Por qué se dice que es un crecimiento de calidad?;está basado en aumentos en los ingresos más comerciales (margen de intereses y comisiones)
6;La clasificación de las exposiciones por cliente es una herramienta de control y mitigación de riegos ya que permite limitar la exposición por cliente.;¿Cuál es el motivo de que la clasificación de las exposiciones por cliente sea una herramienta de control y mitigación de riegos?;permite limitar la exposición por cliente
7;Por otra parte, el Reglamento Interno de Conducta en Materias Relativas a los Mercados de Valores, en su artículo 5, señala los principios que deben regir la actuación de las personas afectadas por el mismo en relación con conflictos de interés (independencia, abstención y confidencialidad) y establece que estas personas deberán comprometerse por escrito a actuar con independencia en sus actividades y a poner en conocimiento de la Dirección de Cumplimiento Normativo aquellos conflictos de interés a que estén sometidas por causa de sus actividades fuera del Grupo Inditex, sus relaciones familiares, su patrimonio personal, O por cualquier otro motivo con proveedores, agentes y franquiciados o asesores externos.;Según el Reglamento Interno de Conducta en Materias Relativas a los Mercados de Valores, ¿por qué causas pueden estar sometidas a conflictos de interés las personas afectadas por el mismo?;sus actividades fuera del Grupo Inditex, sus relaciones familiares, su patrimonio personal, O por cualquier otro motivo con proveedores, agentes y franquiciados o asesores externos
8;Por su parte, las ventas brutas bajo enseña de La Plaza descendieron un 6,2% hasta EUR813m en 2017, debido a la reducción del 11,6% registrada en la superficie comercial.;¿Por qué las ventas brutas bajo enseña de La Plaza descendieron un 6,2% hasta EUR813m en 2017?;la reducción del 11,6% registrada en la superficie comercial
9;Entre los posibles supuestos, caben destacar los siguientes: interrupciones reiteradas en el control del tráfico aéreo a causa de conflictos laborales, guerras, conflictos civiles o terrorismo, fallo grave del sistema de transporte público, pérdida total o parcial del uso de terminales y condiciones climatológicas adversas (como nieve, niebla o cenizas volcánicas).;¿Cuáles son las causas de las interrupciones reiteradas en el control del tráfico aéreo?;conflictos laborales, guerras, conflictos civiles o terrorismo
10;• Una diferencia negativa de 97 millones de euros en el beneficio o pérdida resultante de la venta de inmovilizado material e inversiones, debido a la venta de un Airbus A340 de Iberia con una pérdida contable de 11 millones de euros, y el beneficio de 30 millones de euros derivado de la venta y posterior alquiler de 12 Airbus A319, registrado en la base comparativa de 2016;¿A qué es debida una diferencia negativa de 97 millones de euros en el beneficio o pérdida resultante de la venta de inmovilizado material e inversiones?;a la venta de un Airbus A340 de Iberia con una pérdida contable de 11 millones de euros, y el beneficio de 30 millones de euros derivado de la venta y posterior alquiler de 12 Airbus A319, registrado en la base comparativa de 2016
